Restaurant ID,Country Code,City,"Restaurant Name,Address",Locality,Locality Verbose,Longitude,Latitude,Cuisines
18395463,189,Cape Town,"The Butcher's Wife,15 Belgravia Road, Athlone, Cape Town",Athlone,"Athlone, Cape Town",18.51440571,-33.96466043,"Pizza, Grill"
18337845,189,Cape Town,"Coco Safar,Ground Floor, Cavendish Square, Claremont, Cape Town","Cavendish Square, Claremont","Cavendish Square, Claremont, Cape Town",18.46489381,-33.97975702,"Cafe, Patisserie"
6401732,189,Cape Town,"La Parada,107 Bree Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.41789313,-33.92154333,"Spanish, Tapas"
6401060,189,Cape Town,"Jason Bakery,185 Bree Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.41457088,-33.92451515,"Cafe, Bakery"
6400421,189,Cape Town,"Truth Coffee,36 Buitenkant Street, CBD, Cape Town",CBD,"CBD, Cape Town",18.42286024,-33.92849643,Cafe
6402177,189,Cape Town,"Salushi,25 Protea Road, Claremont, Cape Town",Claremont,"Claremont, Cape Town",18.462423,-33.978602,"Japanese, Sushi, Asian"
6401198,189,Cape Town,"Origin Coffee Roasting,28 Hudson Street, De Waterkant, Cape Town",De Waterkant,"De Waterkant, Cape Town",18.41766667,-33.91733333,"Cafe, Bakery, Tea, Vegetarian"
6401054,189,Cape Town,"Kloof Street House,30 Kloof Street, Gardens, Cape Town",Gardens,"Gardens, Cape Town",18.4125,-33.9285,Mediterranean
6403291,189,Cape Town,"Jerry's Burger Bar,5 Park Road, Kloof Street, Gardens, Cape Town",Gardens,"Gardens, Cape Town",18.410769,-33.929022,"Burger, American"
6403499,189,Cape Town,"Active Sushi,32 Hudson Street, Mirage Building, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.417566,-33.917258,Sushi
6400191,189,Cape Town,"Beluga,The Foundry, Prestwich Street, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.418015,-33.912585,"Seafood, Asian, Grill, Sushi"
6404082,189,Cape Town,"Rocomamas,107a Main Road, Green Point, Cape Town",Green Point,"Green Point, Cape Town",18.409153,-33.907776,"Burger, Fast Food, Grill"
6401485,189,Cape Town,"The Creamery,Newlands Quarter, Dean Street, Newlands, Cape Town",Newlands,"Newlands, Cape Town",18.46195,-33.970286,"Desserts, Ice Cream"
6400621,189,Cape Town,"Nobu - One&Only,One & Only Hotel, Dock Road, V & A Waterfront, Cape Town","One and Only Hotel, V & A Waterfront","One and Only Hotel, V & A Waterfront, Cape Town",18.416435,-33.908603,"Japanese, Asian, Seafood, Sushi"
6403544,189,Cape Town,"Jarryds,90 Regent Road, Sea Point, Cape Town",Sea Point,"Sea Point, Cape Town",18.381997,-33.921453,"Cafe, Burger"
6403452,189,Cape Town,"My Sugar,77 Regent Road, Sea Point, Cape Town",Sea Point,"Sea Point, Cape Town",18.382759,-33.921692,"Cafe, Patisserie, Bakery, Desserts"
6402163,189,Cape Town,"Grand Cafí© & Beach,Granger Bay Road, Granger Bay, V & A Waterfront, Cape Town",V & A Waterfront,"V & A Waterfront, Cape Town",18.415163,-33.901746,"Seafood, African, Sushi"
6401789,189,Cape Town,"tashas,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",V & A Waterfront,"V & A Waterfront, Cape Town",18.421341,-33.902336,"Cafe, Mediterranean"
6400235,189,Cape Town,"Gibson's Gourmet Burgers & Ribs,Shop 157, Lower Level, Victoria Wharf, V & A Waterfront, Cape Town","Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",18.42030041,-33.9042665,"Burger, American, Grill"
6400217,189,Cape Town,"Willoughby & Co.,Ground Level, Victoria Wharf, V & A Waterfront, Cape Town","Victoria Wharf, V & A Waterfront","Victoria Wharf, V & A Waterfront, Cape Town",18.421,-33.90416667,"Seafood, Japanese, Sushi"
6501534,189,Inner City,"Cube - Tasting Kitchen,24 Albrecht Road, Maboneng Precinct, City and Suburban, Inner City",City and Suburban,"City and Suburban, Inner City",28.060192,-26.203278,"European, Contemporary"
18339373,189,Inner City,"Urbanologi,1 Fox Street, Marshalltown, Inner City, Johannesburg",Marshalltown,"Marshalltown, Inner City",28.031863,-26.207091,Tapas
6517396,189,Johannesburg,"Momo Baohaus,139 Greenway, Greenside, Johannesburg",Greenside,"Greenside, Johannesburg",28.011059,-26.14658,"Asian, Sushi, Tapas"
6502688,189,Johannesburg,"Craft,33, 4th Avenue corner of 13th street, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.017548,-26.138396,"European, Pizza"
6515130,189,Johannesburg,"Hudsons,Corner 4th Avenue & 14th Street, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.018022,-26.137391,"Burger, Finger Food, Pizza"
6502341,189,Johannesburg,"The Wolfpack,21, 4th Avenue, Parkhurst, Johannesburg",Parkhurst,"Parkhurst, Johannesburg",28.017146,-26.140464,"American, Burger"
6516766,189,Johannesburg,"The National,19, 4th Avenue, Parktown North, Johannesburg",Parktown North,"Parktown North, Johannesburg",28.025193,-26.1440716,American
18370704,189,Johannesburg,"Marble,Corner Jan Smuts Avenue & Jellicoe Avenue, Rosebank, Johannesburg",Rosebank,"Rosebank, Johannesburg",28.03619944,-26.14338814,"Continental, South African, Beverages, Desserts, Seafood, Grill, Ice Cream, International"
75027,189,Pretoria,"Kream,570 Fehrsen Street, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.23604667,-25.77074833,African
18199767,189,Pretoria,"Carbon Bistro,279 Dey Street, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.230606,-25.772304,"Burger, Steak, Seafood"
75031,189,Pretoria,"Geet Indian Restaurant,541 Fehrsen Street, Nieuw Muckleneuk, Brooklyn, Pretoria",Brooklyn,"Brooklyn, Pretoria",28.235482,-25.771335,Indian
75728,189,Pretoria,"Blos Cafe,66 Olympus street, Faerie Glen, Pretoria",Faerie Glen,"Faerie Glen, Pretoria",28.331763,-25.798167,"Cafe, Burger, Tapas, South African, European, Grill"
18445944,189,Pretoria,"The Belgian Triple,Olympus Village, Corner Olympus Dr And Achilles Road, Faerie Glen, Pretoria",Faerie Glen,"Faerie Glen, Pretoria",28.33247088,-25.79850294,"Healthy Food, Seafood, Beverages, Belgian, Contemporary, Desserts, Finger Food, International"
18199742,189,Pretoria,"El Pistolero,Corner Duvernoy and Chopin Street, Garsfontein, Pretoria",Garsfontein,"Garsfontein, Pretoria",28.287114,-25.80283,Mexican
18238595,189,Pretoria,"Brooklyn Brothers,Glenfair Boulevard, Corner Lynnwood & Daventry Road, Lynnwood Manor, Lynnwood, Pretoria","Glenfair Boulevard, Lynnwood  ","Glenfair Boulevard, Lynnwood  , Pretoria",28.280437,-25.765656,"Burger, American, Beverages"
75609,189,Pretoria,"Capital Craft Beer Academy,Greenlyn Village, Shop 20, 13th Street, Menlo Park, Near, Lynnwood, Pretoria","Greenlyn Village, Menlopark, Near Lynnwood","Greenlyn Village, Menlopark, Near Lynnwood, Pretoria",28.25643333,-25.76973333,"Street Food, Burger, American, Finger Food, German"
18318846,189,Pretoria,"Spice - The Indian Kitchen,Lynridge Mall, 1 Jacobson Drive, Lynnwood, Pretoria",Lynnwood,"Lynnwood, Pretoria",28.298357,-25.765752,"Indian, Asian, Durban, International, Desserts"
75380,189,Pretoria,"The Black Bamboo,Menlyn Boutique Hotel, 209 Tugela Road, Ashlea Gardens, Near Menlyn, Menlyn, Pretoria","Menlyn Boutique Hotel, Menlyn","Menlyn Boutique Hotel, Menlyn, Pretoria",28.270627,-25.780358,Continental
18376948,189,Pretoria,"Old Town Italy,Shop 53, Menlyn Maine, Central Square, 180 Amarand Avenue, Waterkloof Glen, Pretoria","Menlyn Maine, Waterkloof Glen","Menlyn Maine, Waterkloof Glen, Pretoria",28.283896,-25.786067,"Cafe, Italian, Pizza, European, Bakery, Deli"
75104,189,Pretoria,"Parrot's,Menlyn Shopping Centre, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria","Menlyn Shopping Centre, Menlyn","Menlyn Shopping Centre, Menlyn, Pretoria",28.275316,-25.783539,"Contemporary, Sushi, Grill, Italian, Steak"
75026,189,Pretoria,"Baobab Cafe & Grill,Menlyn Shopping Centre, Level 1, Corner of Atterbury Road & Lois Avenue, Menlyn, Pretoria","Menlyn Shopping Centre, Menlyn","Menlyn Shopping Centre, Menlyn, Pretoria",28.275005,-25.782735,"Cafe, Grill"
75576,189,Pretoria,"Harissa Bistro,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near Waterkloof, Pretoria","The Club Centre, Hazelwood, Near Waterkloof","The Club Centre, Hazelwood, Near Waterkloof, Pretoria",28.257131,-25.778387,"European, South African, Steak"
75764,189,Pretoria,"Life Grand Cafe,The Club Centre, Corner of Pinaster Avenue & 18th Street, Hazelwood, Near, Waterkloof, Pretoria","The Club Centre, Hazelwood, Near Waterkloof","The Club Centre, Hazelwood, Near Waterkloof, Pretoria",28.256922,-25.777898,"Italian, Mediterranean, Sushi, Desserts"
75132,189,Pretoria,"Crawdaddy's,Waterglen Shopping Centre, Corner of Garsfontein Road & January Masilela Drive, Waterkloof Glen, Pretoria","Waterglen Shopping Centre, Garsfontein","Waterglen Shopping Centre, Garsfontein, Pretoria",28.28159167,-25.79399333,"Continental, Seafood, Burger, South African, Finger Food, Grill"
18289339,189,Pretoria,"Culture Club - Bar De Tapas,15, 16th Street, Waterkloof, Pretoria 0081",Waterkloof,"Waterkloof, Pretoria",28.255682,-25.775823,"Cafe, Tapas, South African, Beverages, Healthy Food, Desserts, Spanish"
75683,189,Pretoria,"23 On Hazelwood,23 Hazelwood Road, Menlo Park, Near, Waterkloof, Pretoria",Waterkloof,"Waterkloof, Pretoria",28.257074,-25.775722,"Street Food, Continental, Burger, Grill"
18136493,189,Pretoria,"Hogshead,Corner Dely & Pinaster Roads, Hazelwood, Waterkloof, Pretoria",Waterkloof,"Waterkloof, Pretoria",28.25626243,-25.7779816,"Grill, Burger"
75989,189,Pretoria,"Restaurant Mosaic @ The Orient,The Orient Boutique Hotel, Crocodile River Valley, Elandsfontein, Near West Park, Pretoria",West Park,"West Park, Pretoria",27.999097,-25.761238,French
6502134,189,Randburg,"The Whippet,Corner of 7th Street and 4th Avenue, Linden, Randburg 2195",Linden,"Linden, Randburg",27.991791,-26.14026,Cafe
18204217,189,Sandton,"Gemelli Cucina Bar,13 Posthouse Link Centre, Corner Main & Posthouse Street, Bryanston, Johannesburg Sandton, Bryanston, Sandton",Bryanston,"Bryanston, Sandton",28.02302878,-26.05198229,"Contemporary, Italian"
6502852,189,Sandton,"Social on Main,Shop 1, Posthouse Centre, Corner Main Road & Posthouse Street, Bryanston, Sandton 2021",Bryanston,"Bryanston, Sandton",28.023143,-26.052744,"Contemporary, Burger, European"
6515339,189,Sandton,"Cafe Del Sol Botanico,Bryanston Shopping Centre, Corner of William Nicol & Ballyclare Dr, Bryanston, Sandton, Bryanston, Johannesburg","Bryanston Shopping Centre, Bryanston","Bryanston Shopping Centre, Bryanston, Sandton",28.027725,-26.074876,"Italian, Pizza, Beverages, Desserts, Grill, Seafood"
6502883,189,Sandton,"Perron,Illovo Junction, Corner Oxford Road and Corlett Drive, Illovo, Sandton",Illovo,"Illovo, Sandton",28.04833811,-26.13493464,Mexican
6517568,189,Sandton,"Jamie's Italian,Shop 00513, Building 13, High Street, Melrose Arch, Sandton","Melrose Arch, Melrose ","Melrose Arch, Melrose , Sandton",28.068062,-26.13233,Italian
6516831,189,Sandton,"The Big Mouth,Nelson Mandela Square, Corner Maude & 5th Streets, Sandown, Sandton","Nelson Mandela Square, Sandown","Nelson Mandela Square, Sandown, Sandton",28.05466667,-26.1075,"Grill, Steak, Burger, Sushi, Tapas"
6501141,189,Sandton,"Licorish Bistro,Nicolway Shopping Centre, William Nicol Drive, Bryanston, Sandton","Nicolway Shopping Centre, Bryanston","Nicolway Shopping Centre, Bryanston, Sandton",28.021,-26.05233333,"European, South African"
6516432,189,Sandton,"Salsa Mexican Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton","Pineslopes Shopping Centre, Fourways","Pineslopes Shopping Centre, Fourways, Sandton",28.014375,-26.021111,Mexican
6517404,189,Sandton,"The Smokehouse and Grill,Pineslopes Shopping Centre, Corner of Witkoppen Drive & The Straight, Fourways, Sandton","Pineslopes Shopping Centre, Fourways","Pineslopes Shopping Centre, Fourways, Sandton",28.014749,-26.021362,Steak
6515135,189,Sandton,"Escondido Tapas,Post Office Centre, Corner of Rudd Road and Otto Street, Illovo, Sandton","Post Office Center, Illovo","Post Office Center, Illovo, Sandton",28.050845,-26.129002,Mediterranean
6502857,189,Sandton,"Remo's Maximilliano,Waterfall Corner Mall, Corner of Maxwell & Woodmead Drives, Woodmead, Sandton","Waterfall Corner Mall, Midrand","Waterfall Corner Mall, Midrand, Sandton",28.089878,-26.02172,"Italian, Pizza"
